epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
77,1,2.76e-04,2.3158,0.2175,1.5864,0.5218,0.4900,0.4787
78,2,2.30e-04,2.2962,0.2344,1.5228,0.5375,0.5060,0.4900
79,3,1.86e-04,2.2483,0.2418,1.4531,0.5568,0.5209,0.5060
80,4,1.45e-04,2.2204,0.2429,1.4066,0.5716,0.5359,0.5209
81,0,1.08e-04,2.1749,0.2477,1.3907,0.5752,0.5526,0.5359
82,1,7.64e-05,2.1804,0.2413,1.3332,0.5916,0.5665,0.5526
83,2,4.95e-05,2.1691,0.2332,1.2899,0.6103,0.5811,0.5665
84,3,2.81e-05,2.1364,0.2578,1.2779,0.6147,0.5927,0.5811
85,4,1.26e-05,2.1258,0.2555,1.2507,0.6180,0.6019,0.5927
86,0,3.15e-06,2.1046,0.2574,1.2469,0.6211,0.6111,0.6019
87,1,8.00e-04,2.1041,0.2610,1.2367,0.6300,0.6188,0.6111
88,2,7.97e-04,2.3813,0.2057,1.7067,0.4824,0.5932,0.6188
89,3,7.87e-04,2.4313,0.1976,1.7791,0.4654,0.5634,0.6188
90,4,7.72e-04,2.4345,0.1942,1.7833,0.4614,0.5321,0.6188
91,0,7.51e-04,2.4063,0.2066,1.7599,0.4596,0.4998,0.6188
92,1,7.24e-04,2.4021,0.2045,1.7091,0.4840,0.4706,0.6188
93,2,6.92e-04,2.3855,0.1999,1.6260,0.5111,0.4763,0.6188
94,3,6.55e-04,2.3688,0.2040,1.7098,0.4806,0.4793,0.6188
95,4,6.14e-04,2.3193,0.2285,1.6171,0.5132,0.4897,0.6188
96,0,5.70e-04,2.3109,0.2168,1.6331,0.5115,0.5001,0.6188
97,1,5.24e-04,2.3114,0.2268,1.5433,0.5320,0.5097,0.6188
98,2,4.75e-04,2.2714,0.2349,1.4662,0.5553,0.5185,0.6188
99,3,4.25e-04,2.2267,0.2334,1.4141,0.5702,0.5364,0.6188
100,4,3.75e-04,2.1944,0.2563,1.3843,0.5818,0.5502,0.6188
101,0,3.25e-04,2.1708,0.2587,1.3799,0.5838,0.5646,0.6188
102,1,2.76e-04,2.1124,0.2635,1.2896,0.6056,0.5793,0.6188
103,2,2.30e-04,2.1044,0.2581,1.2251,0.6215,0.5926,0.6188
104,3,1.86e-04,2.0672,0.2626,1.1804,0.6453,0.6076,0.6188
105,4,1.45e-04,2.0604,0.2837,1.1148,0.6690,0.6251,0.6188
106,0,1.08e-04,1.9894,0.2799,1.0871,0.6800,0.6443,0.6251
107,1,7.64e-05,1.9725,0.2948,1.0217,0.6890,0.6610,0.6443
108,2,4.95e-05,1.9652,0.3022,0.9835,0.7055,0.6778,0.6610
109,3,2.81e-05,1.9457,0.3025,0.9712,0.7050,0.6897,0.6778
110,4,1.26e-05,1.8935,0.3012,0.9521,0.7200,0.6999,0.6897
111,0,3.15e-06,1.9164,0.3025,0.9439,0.7274,0.7094,0.6999
112,1,8.00e-04,1.8732,0.3112,0.9433,0.7257,0.7167,0.7094
113,2,7.97e-04,2.2292,0.2350,1.5463,0.5258,0.6808,0.7167
114,3,7.87e-04,2.2610,0.2308,1.5339,0.5329,0.6464,0.7167
115,4,7.72e-04,2.3106,0.2258,1.6309,0.5038,0.6031,0.7167
116,0,7.51e-04,2.2975,0.2192,1.5782,0.5200,0.5616,0.7167
117,1,7.24e-04,2.3071,0.2230,1.5425,0.5277,0.5220,0.7167
118,2,6.92e-04,2.2822,0.2255,1.5708,0.5283,0.5225,0.7167
119,3,6.55e-04,2.2891,0.2227,1.4828,0.5496,0.5259,0.7167
120,4,6.14e-04,2.2504,0.2376,1.4710,0.5528,0.5357,0.7167
121,0,5.70e-04,2.2037,0.2513,1.4344,0.5557,0.5428,0.7167
122,1,5.24e-04,2.1781,0.2455,1.3654,0.5849,0.5542,0.7167
123,2,4.75e-04,2.1507,0.2454,1.3105,0.5958,0.5678,0.7167
124,3,4.25e-04,2.1216,0.2667,1.2656,0.6113,0.5801,0.7167
125,4,3.75e-04,2.0902,0.2732,1.2492,0.6214,0.5938,0.7167
126,0,3.25e-04,2.0501,0.2652,1.1800,0.6448,0.6117,0.7167
127,1,2.76e-04,1.9873,0.2849,1.1510,0.6498,0.6246,0.7167
128,2,2.30e-04,1.9576,0.2923,1.0560,0.6823,0.6419,0.7167
129,3,1.86e-04,1.9548,0.3028,1.0103,0.6970,0.6591,0.7167
130,4,1.45e-04,1.8871,0.3055,0.9312,0.7222,0.6792,0.7167
131,0,1.08e-04,1.8392,0.3168,0.9036,0.7410,0.6985,0.7167
132,1,7.64e-05,1.7963,0.3293,0.8211,0.7668,0.7219,0.7167
133,2,4.95e-05,1.7798,0.3257,0.8045,0.7643,0.7383,0.7219
134,3,2.81e-05,1.7675,0.3308,0.7809,0.7726,0.7534,0.7383
135,4,1.26e-05,1.7728,0.3190,0.7651,0.7857,0.7661,0.7534
136,0,3.15e-06,1.7365,0.3429,0.7610,0.7927,0.7764,0.7661
137,1,8.00e-04,1.7553,0.3428,0.7387,0.7956,0.7822,0.7764
138,2,7.97e-04,2.1412,0.2527,1.3828,0.5681,0.7429,0.7822
139,3,7.87e-04,2.1972,0.2459,1.4365,0.5652,0.7015,0.7822
140,4,7.72e-04,2.2027,0.2428,1.4940,0.5505,0.6544,0.7822
141,0,7.51e-04,2.2228,0.2485,1.4427,0.5570,0.6073,0.7822
142,1,7.24e-04,2.2054,0.2365,1.4227,0.5680,0.5618,0.7822
143,2,6.92e-04,2.1915,0.2384,1.4411,0.5591,0.5600,0.7822
144,3,6.55e-04,2.1823,0.2380,1.3653,0.5901,0.5649,0.7822
145,4,6.14e-04,2.1578,0.2617,1.3604,0.5886,0.5725,0.7822
146,0,5.70e-04,2.1316,0.2620,1.2856,0.6120,0.5835,0.7822
147,1,5.24e-04,2.1234,0.2666,1.2622,0.6167,0.5933,0.7822
148,2,4.75e-04,2.0790,0.2715,1.1895,0.6293,0.6073,0.7822
149,3,4.25e-04,2.0163,0.2739,1.1291,0.6596,0.6212,0.7822
150,4,3.75e-04,1.9928,0.2838,1.0899,0.6745,0.6384,0.7822
