epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
77,1,1.36e-04,1.9642,0.2855,0.8958,0.7586,0.7385,0.7293
78,2,9.55e-05,1.9331,0.3150,0.8731,0.7668,0.7481,0.7385
79,3,6.18e-05,1.9305,0.3173,0.8814,0.7616,0.7545,0.7481
80,4,3.51e-05,1.9131,0.3122,0.8571,0.7668,0.7595,0.7545
81,0,1.57e-05,1.9162,0.2981,0.8745,0.7711,0.7650,0.7595
82,1,3.94e-06,1.9415,0.3078,0.8397,0.7770,0.7687,0.7650
83,2,1.00e-03,1.9180,0.2876,0.8294,0.7800,0.7713,0.7687
84,3,9.96e-04,2.0752,0.2900,1.1075,0.6874,0.7565,0.7713
85,4,9.84e-04,2.0906,0.2674,1.1146,0.6775,0.7386,0.7713
86,0,9.65e-04,2.0875,0.2707,1.0781,0.6902,0.7224,0.7713
87,1,9.38e-04,2.0617,0.2812,1.0523,0.6939,0.7058,0.7713
88,2,9.05e-04,2.0606,0.2730,1.0276,0.7143,0.6927,0.7713
89,3,8.64e-04,2.0521,0.2794,1.0199,0.7038,0.6959,0.7713
90,4,8.19e-04,2.0166,0.2898,1.0019,0.7206,0.7046,0.7713
91,0,7.68e-04,1.9979,0.2911,1.0053,0.7218,0.7109,0.7713
92,1,7.13e-04,1.9990,0.2911,0.9382,0.7389,0.7199,0.7713
93,2,6.55e-04,1.9732,0.2881,0.9032,0.7532,0.7277,0.7713
94,3,5.94e-04,1.9462,0.2894,0.9071,0.7552,0.7380,0.7713
95,4,5.31e-04,1.9102,0.3111,0.8546,0.7665,0.7471,0.7713
96,0,4.69e-04,1.9015,0.2983,0.8529,0.7756,0.7579,0.7713
97,1,4.06e-04,1.9035,0.3231,0.7979,0.7880,0.7677,0.7713
98,2,3.45e-04,1.9191,0.3080,0.7611,0.8069,0.7784,0.7713
99,3,2.87e-04,1.8337,0.3239,0.7633,0.8036,0.7881,0.7784
100,4,2.32e-04,1.8407,0.3327,0.7419,0.8164,0.7981,0.7881
101,0,1.81e-04,1.8362,0.3429,0.7215,0.8217,0.8073,0.7981
