epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
77,1,2.71e-04,2.1729,0.2440,1.3684,0.5872,0.5667,0.5566
78,2,2.47e-04,2.1253,0.2697,1.2881,0.6058,0.5755,0.5667
79,3,2.23e-04,2.0967,0.2691,1.2720,0.6196,0.5897,0.5755
80,4,2.00e-04,2.0779,0.2673,1.2227,0.6252,0.6021,0.5897
81,0,1.78e-04,2.0726,0.2662,1.2044,0.6390,0.6154,0.6021
82,1,1.56e-04,2.0741,0.2697,1.1991,0.6480,0.6275,0.6154
83,2,1.36e-04,2.0507,0.2614,1.1037,0.6656,0.6395,0.6275
84,3,1.17e-04,2.0306,0.2917,1.1344,0.6631,0.6482,0.6395
85,4,9.93e-05,2.0033,0.2729,1.0783,0.6790,0.6590,0.6482
86,0,8.27e-05,1.9578,0.2922,1.0555,0.6901,0.6692,0.6590
87,1,6.74e-05,1.9616,0.2948,1.0308,0.6974,0.6791,0.6692
88,2,5.36e-05,1.9489,0.2880,1.0119,0.7000,0.6859,0.6791
89,3,4.13e-05,1.9584,0.2878,0.9862,0.7107,0.6954,0.6859
90,4,3.04e-05,1.9234,0.3040,0.9757,0.7239,0.7044,0.6954
91,0,2.12e-05,1.8921,0.3050,0.9581,0.7256,0.7115,0.7044
92,1,1.36e-05,1.9233,0.3119,0.9562,0.7241,0.7168,0.7115
93,2,7.69e-06,1.8883,0.2994,0.9115,0.7312,0.7231,0.7168
94,3,3.42e-06,1.8649,0.2981,0.9245,0.7341,0.7278,0.7231
95,4,8.56e-07,1.8726,0.3136,0.9370,0.7336,0.7297,0.7278
96,0,8.00e-04,1.8876,0.3025,0.9418,0.7333,0.7313,0.7297
97,1,8.00e-04,2.2444,0.2380,1.5858,0.5154,0.6895,0.7313
98,2,7.99e-04,2.3015,0.2182,1.6003,0.5052,0.6443,0.7313
99,3,7.98e-04,2.3269,0.2204,1.6307,0.5034,0.5982,0.7313
100,4,7.97e-04,2.3105,0.2171,1.6152,0.5089,0.5532,0.7313
101,0,7.95e-04,2.3298,0.2273,1.6354,0.4988,0.5063,0.7313
102,1,7.92e-04,2.3324,0.2214,1.6550,0.4917,0.5016,0.7313
103,2,7.90e-04,2.3270,0.2180,1.6027,0.5119,0.5029,0.7313
104,3,7.86e-04,2.3378,0.2168,1.5977,0.5144,0.5051,0.7313
105,4,7.83e-04,2.3344,0.2290,1.5641,0.5248,0.5083,0.7313
106,0,7.79e-04,2.3162,0.2194,1.5671,0.5217,0.5129,0.7313
107,1,7.74e-04,2.2928,0.2321,1.5897,0.5109,0.5167,0.7313
108,2,7.70e-04,2.3197,0.2275,1.5799,0.5198,0.5183,0.7313
109,3,7.64e-04,2.2937,0.2280,1.5678,0.5202,0.5195,0.7313
110,4,7.59e-04,2.2794,0.2241,1.5039,0.5469,0.5239,0.7313
111,0,7.53e-04,2.3188,0.2290,1.5381,0.5348,0.5265,0.7313
112,1,7.46e-04,2.2517,0.2392,1.5007,0.5432,0.5330,0.7313
113,2,7.40e-04,2.2471,0.2312,1.4488,0.5653,0.5421,0.7313
114,3,7.33e-04,2.2237,0.2380,1.5080,0.5463,0.5473,0.7313
115,4,7.25e-04,2.2286,0.2354,1.4233,0.5694,0.5518,0.7313
116,0,7.17e-04,2.2322,0.2433,1.4742,0.5550,0.5558,0.7313
117,1,7.09e-04,2.2245,0.2400,1.4545,0.5666,0.5605,0.7313
118,2,7.01e-04,2.1878,0.2443,1.3812,0.5746,0.5624,0.7313
119,3,6.92e-04,2.1933,0.2432,1.3750,0.5766,0.5684,0.7313
120,4,6.83e-04,2.1685,0.2540,1.4044,0.5785,0.5702,0.7313
121,0,6.73e-04,2.1905,0.2571,1.3744,0.5829,0.5758,0.7313
122,1,6.64e-04,2.1516,0.2510,1.3739,0.5832,0.5792,0.7313
123,2,6.54e-04,2.1565,0.2516,1.3450,0.5936,0.5830,0.7313
124,3,6.44e-04,2.1083,0.2786,1.3619,0.5797,0.5836,0.7313
125,4,6.33e-04,2.1437,0.2597,1.3150,0.5994,0.5878,0.7313
126,0,6.22e-04,2.0897,0.2519,1.2728,0.6091,0.5930,0.7313
127,1,6.11e-04,2.0723,0.2584,1.3095,0.5959,0.5955,0.7313
128,2,6.00e-04,2.0983,0.2673,1.2391,0.6246,0.6017,0.7313
129,3,5.89e-04,2.1106,0.2734,1.2301,0.6241,0.6106,0.7313
130,4,5.77e-04,2.0759,0.2789,1.2298,0.6235,0.6154,0.7313
131,0,5.65e-04,2.0636,0.2798,1.2279,0.6316,0.6199,0.7313
132,1,5.53e-04,2.0099,0.2825,1.1877,0.6399,0.6287,0.7313
133,2,5.41e-04,2.0208,0.2846,1.1926,0.6394,0.6317,0.7313
134,3,5.29e-04,1.9887,0.2774,1.1749,0.6436,0.6356,0.7313
135,4,5.16e-04,2.0464,0.2732,1.1504,0.6576,0.6424,0.7313
136,0,5.04e-04,1.9973,0.2780,1.2083,0.6464,0.6454,0.7313
137,1,4.91e-04,1.9504,0.2888,1.1434,0.6586,0.6491,0.7313
138,2,4.78e-04,1.9768,0.2847,1.1003,0.6710,0.6554,0.7313
139,3,4.65e-04,1.9487,0.2871,1.0873,0.6748,0.6617,0.7313
140,4,4.52e-04,1.9422,0.2972,1.0445,0.6890,0.6679,0.7313
141,0,4.39e-04,1.9354,0.2987,1.0439,0.6985,0.6784,0.7313
142,1,4.26e-04,1.8980,0.2943,1.0046,0.7051,0.6877,0.7313
143,2,4.13e-04,1.9025,0.2947,0.9481,0.7242,0.6983,0.7313
144,3,4.00e-04,1.8874,0.3006,0.9265,0.7244,0.7082,0.7313
145,4,3.87e-04,1.8902,0.3188,0.9390,0.7248,0.7154,0.7313
146,0,3.74e-04,1.8891,0.3166,0.9426,0.7274,0.7212,0.7313
147,1,3.61e-04,1.8442,0.3148,0.9038,0.7387,0.7279,0.7313
148,2,3.48e-04,1.8091,0.3278,0.8855,0.7349,0.7300,0.7313
149,3,3.35e-04,1.7886,0.3200,0.8696,0.7412,0.7334,0.7313
150,4,3.22e-04,1.8048,0.3107,0.8975,0.7564,0.7397,0.7334
151,0,3.09e-04,1.7834,0.3337,0.8583,0.7649,0.7472,0.7397
152,1,2.96e-04,1.7790,0.3284,0.8139,0.7734,0.7542,0.7472
153,2,2.84e-04,1.7359,0.3381,0.7846,0.7763,0.7625,0.7542
154,3,2.71e-04,1.7427,0.3386,0.7587,0.7947,0.7731,0.7625
155,4,2.59e-04,1.6795,0.3551,0.7429,0.7918,0.7802,0.7731
156,0,2.47e-04,1.6776,0.3540,0.7596,0.7996,0.7872,0.7802
157,1,2.35e-04,1.6916,0.3412,0.6816,0.8173,0.7959,0.7872
158,2,2.23e-04,1.6446,0.3409,0.7045,0.8215,0.8050,0.7959
159,3,2.11e-04,1.6268,0.3539,0.6411,0.8359,0.8132,0.8050
160,4,2.00e-04,1.6202,0.3769,0.6634,0.8257,0.8200,0.8132
161,0,1.89e-04,1.6060,0.3574,0.6248,0.8402,0.8281,0.8200
162,1,1.78e-04,1.5886,0.3615,0.6261,0.8521,0.8351,0.8281
163,2,1.67e-04,1.6195,0.3618,0.5809,0.8581,0.8424,0.8351
164,3,1.56e-04,1.5574,0.3823,0.5730,0.8631,0.8478,0.8424
165,4,1.46e-04,1.5494,0.3572,0.5268,0.8764,0.8580,0.8478
166,0,1.36e-04,1.5759,0.3934,0.5197,0.8790,0.8657,0.8580
167,1,1.27e-04,1.5131,0.3780,0.4716,0.8931,0.8739,0.8657
168,2,1.17e-04,1.4848,0.4083,0.4957,0.8899,0.8803,0.8739
169,3,1.08e-04,1.4829,0.3837,0.4690,0.8929,0.8862,0.8803
170,4,9.93e-05,1.4759,0.3967,0.4996,0.8999,0.8910,0.8862
171,0,9.08e-05,1.4403,0.3949,0.4339,0.9066,0.8965,0.8910
