epoch,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc
94,3.37e-04,1.6162,0.3661,1.4779,0.5645,0.5673
95,3.27e-04,1.5964,0.3824,1.4861,0.5651,0.5673
96,3.16e-04,1.6267,0.3643,1.4709,0.5655,0.5673
97,3.06e-04,1.5977,0.3843,1.4899,0.5605,0.5673
98,2.96e-04,1.6386,0.3795,1.4842,0.5653,0.5673
99,2.86e-04,1.6135,0.3770,1.4803,0.5730,0.5673
100,2.76e-04,1.5634,0.3929,1.4872,0.5661,0.5730
101,2.66e-04,1.5853,0.3948,1.4715,0.5728,0.5730
102,2.56e-04,1.5799,0.3795,1.4812,0.5666,0.5730
103,2.47e-04,1.6028,0.3976,1.4826,0.5668,0.5730
104,2.37e-04,1.5796,0.3755,1.4805,0.5651,0.5730
105,2.28e-04,1.5785,0.4023,1.4893,0.5672,0.5730
106,2.19e-04,1.5686,0.3837,1.4738,0.5685,0.5730
107,2.10e-04,1.5807,0.3884,1.4665,0.5704,0.5730
108,2.01e-04,1.5954,0.3890,1.4616,0.5697,0.5730
109,1.92e-04,1.5603,0.3859,1.4824,0.5707,0.5730
110,1.83e-04,1.5432,0.3834,1.4748,0.5713,0.5730
111,1.75e-04,1.5854,0.3875,1.4746,0.5698,0.5730
112,1.67e-04,1.5497,0.3950,1.4826,0.5728,0.5730
113,1.58e-04,1.5192,0.3918,1.4850,0.5706,0.5730
114,1.50e-04,1.5314,0.3990,1.4713,0.5715,0.5730
115,1.43e-04,1.5162,0.3998,1.4608,0.5726,0.5730
116,1.35e-04,1.5324,0.3886,1.4677,0.5728,0.5730
117,1.27e-04,1.5466,0.3861,1.4721,0.5772,0.5730
118,1.20e-04,1.5280,0.4067,1.4741,0.5716,0.5772
119,1.13e-04,1.5441,0.3894,1.4731,0.5734,0.5772
120,1.06e-04,1.5453,0.3996,1.4676,0.5751,0.5772
121,9.94e-05,1.5011,0.4072,1.4674,0.5754,0.5772
122,9.29e-05,1.4681,0.3978,1.4786,0.5756,0.5772
123,8.66e-05,1.5168,0.3967,1.4623,0.5750,0.5772
124,8.05e-05,1.4883,0.4235,1.4796,0.5771,0.5772
125,7.45e-05,1.4980,0.4235,1.4664,0.5767,0.5772
126,6.88e-05,1.4867,0.3787,1.4733,0.5765,0.5772
127,6.33e-05,1.4701,0.4062,1.4688,0.5745,0.5772
128,5.81e-05,1.4893,0.4040,1.4669,0.5773,0.5772
129,5.30e-05,1.4972,0.4099,1.4665,0.5766,0.5773
130,4.82e-05,1.5121,0.4122,1.4621,0.5762,0.5773
131,4.35e-05,1.4760,0.4140,1.4703,0.5747,0.5773
132,3.91e-05,1.4709,0.4104,1.4712,0.5717,0.5773
133,3.49e-05,1.4600,0.4139,1.4683,0.5764,0.5773
134,3.10e-05,1.4684,0.4018,1.4625,0.5758,0.5773
135,2.73e-05,1.5169,0.3996,1.4641,0.5764,0.5773
136,2.38e-05,1.4657,0.4066,1.4574,0.5742,0.5773
137,2.05e-05,1.4382,0.4166,1.4634,0.5748,0.5773
138,1.75e-05,1.4742,0.4032,1.4836,0.5751,0.5773
139,1.47e-05,1.4753,0.4087,1.4616,0.5728,0.5773
140,1.22e-05,1.4473,0.4126,1.4650,0.5732,0.5773
141,9.88e-06,1.4616,0.4154,1.4663,0.5763,0.5773
142,7.81e-06,1.4642,0.4055,1.4642,0.5762,0.5773
143,5.98e-06,1.4593,0.3916,1.4625,0.5751,0.5773
144,4.40e-06,1.5193,0.3892,1.4614,0.5750,0.5773
145,3.06e-06,1.4825,0.4200,1.4612,0.5752,0.5773
