epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
1,0,1.34e-04,3.2355,0.0489,3.1339,0.0687,0.0687,0.0000
2,1,2.57e-04,3.2679,0.0420,3.1504,0.0582,0.0634,0.0000
3,2,3.81e-04,3.2500,0.0451,3.1606,0.0705,0.0658,0.0000
4,3,5.05e-04,3.2338,0.0469,3.1341,0.0668,0.0660,0.0000
5,4,6.29e-04,3.2305,0.0441,3.1456,0.0604,0.0649,0.0000
5,4,6.29e-04,3.2359,0.0440,3.1694,0.0667,0.0662,0.0000
5,4,6.29e-04,3.2359,0.0440,3.1694,0.0667,0.0662,0.0000
6,0,7.52e-04,nan,0.0484,3.1708,0.0612,0.0647,0.0662
