epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
77,1,2.22e-04,1.9088,0.2994,0.8268,0.7809,0.7667,0.7604
78,2,1.96e-04,1.8726,0.3270,0.8146,0.7855,0.7727,0.7667
79,3,1.70e-04,1.8754,0.3304,0.8143,0.7838,0.7779,0.7727
80,4,1.46e-04,1.8568,0.3244,0.7882,0.7974,0.7834,0.7779
81,0,1.24e-04,1.8599,0.3105,0.7905,0.8006,0.7897,0.7834
82,1,1.03e-04,1.8827,0.3184,0.7592,0.8084,0.7952,0.7897
83,2,8.43e-05,1.8460,0.3008,0.7550,0.8044,0.7989,0.7952
84,3,6.70e-05,1.8671,0.3406,0.7706,0.8029,0.8028,0.7989
85,4,5.16e-05,1.8485,0.3186,0.7544,0.8083,0.8049,0.8028
86,0,3.81e-05,1.8422,0.3242,0.7477,0.8144,0.8077,0.8049
87,1,2.65e-05,1.8170,0.3325,0.7356,0.8182,0.8097,0.8077
88,2,1.70e-05,1.8271,0.3214,0.7367,0.8158,0.8119,0.8097
89,3,9.61e-06,1.8331,0.3255,0.7200,0.8164,0.8146,0.8119
90,4,4.28e-06,1.8118,0.3315,0.7316,0.8201,0.8170,0.8146
91,0,1.07e-06,1.8124,0.3319,0.7532,0.8154,0.8172,0.8170
92,1,1.00e-03,1.8319,0.3275,0.7250,0.8254,0.8186,0.8172
93,2,1.00e-03,1.9690,0.2896,0.9976,0.7190,0.7993,0.8186
94,3,9.99e-04,1.9956,0.2793,1.0009,0.7203,0.7801,0.8186
95,4,9.98e-04,1.9871,0.2936,0.9627,0.7280,0.7616,0.8186
96,0,9.96e-04,1.9917,0.2815,0.9650,0.7260,0.7437,0.8186
97,1,9.93e-04,2.0076,0.3002,0.9395,0.7390,0.7264,0.8186
98,2,9.90e-04,2.0332,0.2829,0.9626,0.7297,0.7286,0.8186
99,3,9.87e-04,1.9623,0.2942,0.9284,0.7412,0.7328,0.8186
100,4,9.83e-04,1.9836,0.2990,0.9399,0.7463,0.7364,0.8186
101,0,9.78e-04,1.9800,0.3086,0.9125,0.7522,0.7417,0.8186
102,1,9.73e-04,1.9591,0.2919,0.8986,0.7579,0.7455,0.8186
103,2,9.68e-04,1.9804,0.3004,0.8867,0.7579,0.7511,0.8186
104,3,9.62e-04,1.9489,0.2874,0.8877,0.7576,0.7544,0.8186
105,4,9.55e-04,1.9435,0.3138,0.8703,0.7628,0.7577,0.8186
106,0,9.48e-04,1.9022,0.3012,0.8303,0.7797,0.7632,0.8186
107,1,9.41e-04,1.9221,0.3140,0.8181,0.7887,0.7693,0.8186
108,2,9.33e-04,1.9092,0.3106,0.8102,0.7832,0.7744,0.8186
109,3,9.25e-04,1.8969,0.3096,0.7944,0.7903,0.7809,0.8186
110,4,9.16e-04,1.8661,0.3080,0.7769,0.7992,0.7882,0.8186
111,0,9.06e-04,1.9015,0.3204,0.7776,0.7995,0.7922,0.8186
112,1,8.97e-04,1.8660,0.3222,0.7619,0.8062,0.7957,0.8186
113,2,8.87e-04,1.8366,0.3157,0.7584,0.8110,0.8013,0.8186
114,3,8.76e-04,1.8704,0.3299,0.7381,0.8118,0.8055,0.8186
115,4,8.65e-04,1.8289,0.3259,0.7401,0.8125,0.8082,0.8186
116,0,8.54e-04,1.8354,0.3315,0.7114,0.8218,0.8127,0.8186
117,1,8.42e-04,1.8409,0.3238,0.6984,0.8216,0.8157,0.8186
118,2,8.30e-04,1.8211,0.3267,0.6991,0.8310,0.8197,0.8186
119,3,8.17e-04,1.8060,0.3300,0.6659,0.8391,0.8252,0.8197
120,4,8.04e-04,1.8317,0.3427,0.6946,0.8406,0.8308,0.8252
121,0,7.91e-04,1.7891,0.3340,0.6720,0.8457,0.8356,0.8308
122,1,7.78e-04,1.7614,0.3318,0.6516,0.8546,0.8422,0.8356
123,2,7.64e-04,1.7734,0.3370,0.6170,0.8580,0.8476,0.8422
124,3,7.50e-04,1.7549,0.3631,0.6421,0.8541,0.8506,0.8476
125,4,7.36e-04,1.7611,0.3522,0.6262,0.8667,0.8558,0.8506
126,0,7.21e-04,1.7559,0.3289,0.6142,0.8709,0.8608,0.8558
127,1,7.06e-04,1.7174,0.3511,0.5802,0.8777,0.8655,0.8608
128,2,6.91e-04,1.7543,0.3488,0.6006,0.8718,0.8682,0.8655
129,3,6.76e-04,1.7121,0.3484,0.6165,0.8666,0.8707,0.8682
130,4,6.61e-04,1.7109,0.3594,0.5706,0.8795,0.8733,0.8707
131,0,6.45e-04,1.7140,0.3606,0.5559,0.8905,0.8772,0.8733
132,1,6.29e-04,1.6848,0.3547,0.5622,0.8919,0.8800,0.8772
133,2,6.14e-04,1.6614,0.3635,0.5306,0.8931,0.8843,0.8800
134,3,5.98e-04,1.6815,0.3434,0.5267,0.8998,0.8909,0.8843
135,4,5.81e-04,1.7142,0.3527,0.5178,0.9002,0.8951,0.8909
136,0,5.65e-04,1.6303,0.3682,0.5102,0.9013,0.8973,0.8951
137,1,5.49e-04,1.6438,0.3729,0.5074,0.9088,0.9006,0.8973
138,2,5.33e-04,1.6498,0.3637,0.4684,0.9192,0.9059,0.9006
139,3,5.16e-04,1.6567,0.3722,0.4923,0.9090,0.9077,0.9059
140,4,5.00e-04,1.6228,0.3691,0.4873,0.9120,0.9100,0.9077
141,0,4.84e-04,1.6290,0.3783,0.4596,0.9239,0.9146,0.9100
142,1,4.67e-04,1.6244,0.3693,0.4595,0.9257,0.9179,0.9146
143,2,4.51e-04,1.6275,0.3624,0.4771,0.9215,0.9184,0.9179
144,3,4.35e-04,1.6532,0.3633,0.4529,0.9279,0.9222,0.9184
145,4,4.19e-04,1.6046,0.3890,0.4531,0.9198,0.9237,0.9222
146,0,4.02e-04,1.6035,0.3788,0.4339,0.9308,0.9251,0.9237
147,1,3.86e-04,1.5859,0.3989,0.4293,0.9406,0.9281,0.9251
148,2,3.71e-04,1.5695,0.3853,0.4228,0.9377,0.9313,0.9281
149,3,3.55e-04,1.5563,0.3930,0.4105,0.9392,0.9336,0.9313
150,4,3.39e-04,1.5799,0.3790,0.4105,0.9388,0.9374,0.9336
151,0,3.24e-04,1.5777,0.3884,0.4047,0.9462,0.9405,0.9374
152,1,3.09e-04,1.5570,0.4009,0.3968,0.9483,0.9421,0.9405
153,2,2.94e-04,1.5375,0.3948,0.3900,0.9485,0.9442,0.9421
154,3,2.79e-04,1.5212,0.4054,0.3926,0.9500,0.9464,0.9442
155,4,2.64e-04,1.5278,0.3964,0.4070,0.9491,0.9484,0.9464
156,0,2.50e-04,1.5299,0.3985,0.3807,0.9526,0.9497,0.9484
157,1,2.36e-04,1.5407,0.3767,0.3744,0.9578,0.9516,0.9497
158,2,2.22e-04,1.5234,0.3929,0.3804,0.9520,0.9523,0.9516
159,3,2.09e-04,1.5053,0.3984,0.3765,0.9560,0.9535,0.9523
160,4,1.96e-04,1.5136,0.4053,0.3723,0.9580,0.9553,0.9535
161,0,1.83e-04,1.4984,0.3973,0.3769,0.9570,0.9562,0.9553
162,1,1.70e-04,1.4892,0.3954,0.3572,0.9646,0.9575,0.9562
163,2,1.58e-04,1.5136,0.4021,0.3559,0.9639,0.9599,0.9575
164,3,1.46e-04,1.5020,0.4113,0.3498,0.9637,0.9614,0.9599
165,4,1.35e-04,1.4979,0.3935,0.3523,0.9617,0.9622,0.9614
166,0,1.24e-04,1.5085,0.4023,0.3484,0.9661,0.9640,0.9622
167,1,1.13e-04,1.4972,0.4001,0.3423,0.9688,0.9648,0.9640
168,2,1.03e-04,1.4717,0.4192,0.3461,0.9634,0.9647,0.9648
169,3,9.36e-05,1.4894,0.4162,0.3400,0.9694,0.9659,0.9648
170,4,8.43e-05,1.4772,0.4130,0.3463,0.9640,0.9664,0.9659
171,0,7.54e-05,1.4485,0.4152,0.3394,0.9711,0.9674,0.9664
172,1,6.70e-05,1.4511,0.3997,0.3282,0.9737,0.9683,0.9674
173,2,5.90e-05,1.4804,0.4220,0.3370,0.9689,0.9694,0.9683
174,3,5.16e-05,1.4438,0.4093,0.3396,0.9702,0.9696,0.9694
175,4,4.46e-05,1.4948,0.3982,0.3371,0.9697,0.9707,0.9696
176,0,3.81e-05,1.4668,0.4020,0.3276,0.9734,0.9712,0.9707
177,1,3.20e-05,1.4780,0.4054,0.3256,0.9750,0.9714,0.9712
178,2,2.65e-05,1.4605,0.4005,0.3318,0.9703,0.9717,0.9714
179,3,2.15e-05,1.4730,0.4194,0.3267,0.9750,0.9727,0.9717
180,4,1.70e-05,1.4618,0.4141,0.3348,0.9693,0.9726,0.9727
181,0,1.31e-05,1.4509,0.4153,0.3274,0.9735,0.9726,0.9727
182,1,9.61e-06,1.4608,0.4217,0.3252,0.9744,0.9725,0.9727
183,2,6.68e-06,1.4627,0.3961,0.3298,0.9701,0.9725,0.9727
184,3,4.28e-06,1.4923,0.4242,0.3295,0.9728,0.9720,0.9727
185,4,2.41e-06,1.4379,0.4056,0.3312,0.9710,0.9724,0.9727
186,0,1.07e-06,1.4460,0.4207,0.3259,0.9741,0.9725,0.9727
187,1,2.68e-07,1.4401,0.4113,0.3229,0.9748,0.9726,0.9727
188,2,1.00e-03,1.4974,0.4126,0.3346,0.9697,0.9725,0.9727
189,3,1.00e-03,1.5947,0.3767,0.4498,0.9216,0.9622,0.9727
190,4,1.00e-03,1.6562,0.3826,0.4799,0.9098,0.9500,0.9727
191,0,9.99e-04,1.6556,0.3620,0.4551,0.9254,0.9402,0.9727
192,1,9.99e-04,1.6523,0.3547,0.4542,0.9254,0.9304,0.9727
193,2,9.98e-04,1.6528,0.3916,0.4731,0.9145,0.9193,0.9727
194,3,9.98e-04,1.6694,0.3760,0.4657,0.9173,0.9185,0.9727
195,4,9.97e-04,1.6772,0.3630,0.4781,0.9175,0.9201,0.9727
196,0,9.96e-04,1.6642,0.3620,0.4590,0.9219,0.9193,0.9727
197,1,9.95e-04,1.7002,0.3779,0.4555,0.9231,0.9189,0.9727
198,2,9.93e-04,1.6565,0.3713,0.4569,0.9237,0.9207,0.9727
199,3,9.92e-04,1.6541,0.3516,0.4711,0.9181,0.9209,0.9727
200,4,9.90e-04,1.6327,0.3834,0.4497,0.9275,0.9229,0.9727
